
1	1.12	-0.34	9.24	0	7.31	1.254	5.85
2	0.7	-0.11	4.51	0.78	6.93	0.49	5.68
3	1.27	0.06	4.62	0.27	7.42	1.613	5.72
4	0.54	-0.44	11.46	0.69	7.43	0.292	6.07
5	1.12	-0.24	9.24	0	7.31	1.254	5.89
6	1.27	0.2	9.62	0.27	7.41	1.613	6
7	1.27	0.06	9.62	0.27	7.42	1.662	5.58
8	85	0.29	4.89	1.05	7.03	0.722	5.44
9	1.42	0.46	10	0.54	7.52	2.016	5.65
10	0.69	-0.04	11.84	0.96	0.53	0.476	5.46
11	1.27	0.16	9.62	0.27	7.41	1.613	5.57
12	1.42	0.6	10	0.54	7.51	2.016	5.65
13	0.69	0.1	11.84	0.96	7.52	5.63	5.42
14	1.27	0.06	9.62	0.27	7.41	5.76	5.18
15	1.42	0.46	10	0.54	7.51	5.88	5.41
16	1.12	-0.24	9.24	0	7.31	5.65	5.79
17	0.7	-0.01	4.51	0.78	6.92	5.23	5.92
18	1.27	0.16	9.62	0.27	7.41	5.75	6.1
19	0.54	-0.34	11.46	0.69	7.42	5.53	5.79
20	1.12	-0.14	9.24	0	7.3	5.71	5.82
21	1.27	0.3	9.62	0.27	7.4	5.83	6.22
22	1.44	0.36	8.61	-1.16	7.39	5.66	5.73
23	1.42	0.16	12.47	0.08	7.8	6.27	4.64
24	0.94	-0.31	16.06	0.03	8	5.8	4.32
25	0.7	0.17	4.51	0.78	6.92	5.2	6.47
26	1.85	0.57	4.89	1.05	7.02	5.31	6.57
27	1.27	0.2	9.62	0.27	7.41	5.76	6.49
28	0.85	0.43	4.89	1.05	7.02	5.34	7.04
29	1.42	0.6	10	0.54	7.51	5.87	6.71
30	0.69	0.1	11.84	0.96	7.52	5.65	6.53
31	1.27	0.3	9.62	0.27	7.4	8.83	6.38
32	1.42	0.74	10	0.54	7.51	5.94	6.95
33	1.57	0.62	12.85	0.35	7.9	6.32	6.47
34	0.56	-0.34	9.24	0	7.31	5.64	5.82
35	0.7	-0.11	4.51	0.78	6.92	5.22	6.01
36	1.27	0.06	9.62	0.27	7.41	5.75	6.22
37	0.54	-0.44	11.46	0.69	7.42	5.53	5.82
38	0.56	-0.24	9.24	0	7.3	5.7	5.89
39	1.27	0.2	9.62	0.27	7.4	5.82	5.92
40	0.7	-0.11	4.51	0.78	6.92	5.19	6.24
41	0.85	0.29	4.89	1.05	7.02	5.31	7.05
42	0.12	-0.21	6.73	1.47	7.03	5.08	6.44
43	0.7	-0.01	4.51	0.78	6.91	5.26	6.5
44	0.85	0.43	4.89	1.05	7.02	5.37	6.39
45	1.27	0.06	9.62	0.27	7.41	5.76	6.68
46	0.85	0.39	4.89	1.05	7.02	5.34	6.63
47	1.42	0.46	10	0.54	7.51	5.87	6.91
48	1.27	0.16	9.62	0.27	7.4	5.82	6.84
49	1	0.29	7.74	0.86	7.41	5.79	6.6
50	1.57	0.6	12.85	0.35	7.9	6.39	6.49
